SONG_ID,SONG_TITLE,ARTIST,BOUNDARIES_1,SEGMENTS_JSON_1,BOUNDARIES_2,SEGMENTS_JSON_2,SPECTROGRAM_PATH_MEL,SPECTROGRAM_PATH_LINEAR,SPECTROGRAM_MATRIX_PATH
964,Encore Break Crowd Noise,Against Me!,"[0.0, 0.048979591, 161.575510204, 161.593469387]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.048979591, ""f"": ""no_function""}, {""t"": 161.575510204, ""f"": ""Silence""}, {""t"": 161.593469387, ""f"": ""End""}]",[],[],spectrograms/mel/964_Against_Me!_Encore_Break_Crowd_Noise.png,spectrograms/linear/964_Against_Me!_Encore_Break_Crowd_Noise.png,spectrograms/matrices/964_Against_Me!_Encore_Break_Crowd_Noise.npy
2,For God And Country,The Smashing Pumpkins,"[0.0, 0.464399092, 14.379863945, 23.986213151, 33.622494331, 42.956916099, 49.681020408, 67.005941043, 76.881292517, 86.425396825, 98.689433106, 108.166303854, 115.474489795, 129.466938775, 137.682789115, 160.601927437, 167.620181405, 177.151723356, 194.691836734, 242.415328798, 250.54893424, 263.205419501, 264.885215419]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.464399092, ""f"": ""Intro""}, {""t"": 14.379863945, ""f"": ""no_function""}, {""t"": 23.986213151, ""f"": ""no_function""}, {""t"": 33.622494331, ""f"": ""Verse""}, {""t"": 42.956916099, ""f"": ""no_function""}, {""t"": 49.681020408, ""f"": ""Transition""}, {""t"": 67.005941043, ""f"": ""Pre-Chorus""}, {""t"": 76.881292517, ""f"": ""Chorus""}, {""t"": 86.425396825, ""f"": ""no_function""}, {""t"": 98.689433106, ""f"": ""Verse""}, {""t"": 108.166303854, ""f"": ""no_function""}, {""t"": 115.474489795, ""f"": ""Transition""}, {""t"": 129.466938775, ""f"": ""Chorus""}, {""t"": 137.682789115, ""f"": ""no_function""}, {""t"": 160.601927437, ""f"": ""no_function""}, {""t"": 167.620181405, ""f"": ""Pre-Chorus""}, {""t"": 177.151723356, ""f"": ""Chorus""}, {""t"": 194.691836734, ""f"": ""no_function""}, {""t"": 242.415328798, ""f"": ""Outro""}, {""t"": 250.54893424, ""f"": ""Fade-out""}, {""t"": 263.205419501, ""f"": ""Silence""}, {""t"": 264.885215419, ""f"": ""End""}]","[0.0, 0.499229024, 14.417777777, 23.753265306, 33.137301587, 42.415396825, 50.755736961, 62.099342403, 64.151678004, 76.584852607, 85.912244897, 98.449614512, 107.689795918, 116.022789115, 127.348049886, 129.421201814, 137.689637188, 145.976893424, 154.334036281, 158.446054421, 160.512290249, 177.111088435, 186.448730158, 194.733378684, 202.928752834, 211.251020408, 219.544580498, 227.857687074, 236.147120181, 240.302902494, 242.317414965, 250.602403628, 263.018231292, 264.896825396]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.499229024, ""f"": ""Intro""}, {""t"": 14.417777777, ""f"": ""no_function""}, {""t"": 23.753265306, ""f"": ""no_function""}, {""t"": 33.137301587, ""f"": ""Verse""}, {""t"": 42.415396825, ""f"": ""no_function""}, {""t"": 50.755736961, ""f"": ""Bridge""}, {""t"": 62.099342403, ""f"": ""Transition""}, {""t"": 64.151678004, ""f"": ""Pre-Chorus""}, {""t"": 76.584852607, ""f"": ""Chorus""}, {""t"": 85.912244897, ""f"": ""no_function""}, {""t"": 98.449614512, ""f"": ""Verse""}, {""t"": 107.689795918, ""f"": ""no_function""}, {""t"": 116.022789115, ""f"": ""Bridge""}, {""t"": 127.348049886, ""f"": ""Transition""}, {""t"": 129.421201814, ""f"": ""no_function""}, {""t"": 137.689637188, ""f"": ""no_function""}, {""t"": 145.976893424, ""f"": ""no_function""}, {""t"": 154.334036281, ""f"": ""no_function""}, {""t"": 158.446054421, ""f"": ""Transition""}, {""t"": 160.512290249, ""f"": ""Pre-Chorus""}, {""t"": 177.111088435, ""f"": ""Chorus""}, {""t"": 186.448730158, ""f"": ""no_function""}, {""t"": 194.733378684, ""f"": ""no_function""}, {""t"": 202.928752834, ""f"": ""no_function""}, {""t"": 211.251020408, ""f"": ""no_function""}, {""t"": 219.544580498, ""f"": ""no_function""}, {""t"": 227.857687074, ""f"": ""no_function""}, {""t"": 236.147120181, ""f"": ""no_function""}, {""t"": 240.302902494, ""f"": ""Transition""}, {""t"": 242.317414965, ""f"": ""Outro""}, {""t"": 250.602403628, ""f"": ""Fade-out""}, {""t"": 263.018231292, ""f"": ""Silence""}, {""t"": 264.896825396, ""f"": ""End""}]",spectrograms/mel/2_The_Smashing_Pumpkins_For_God_And_Country.png,spectrograms/linear/2_The_Smashing_Pumpkins_For_God_And_Country.png,spectrograms/matrices/2_The_Smashing_Pumpkins_For_God_And_Country.npy
6,My Old Jacknife,Ladyhawk,"[0.0, 0.139319727, 13.476122448, 38.554512471, 63.54015873, 88.482517006, 113.282857142, 137.762879818, 162.298866213, 168.04324263, 170.558866213]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.139319727, ""f"": ""Intro""}, {""t"": 13.476122448, ""f"": ""Verse""}, {""t"": 38.554512471, ""f"": ""Chorus""}, {""t"": 63.54015873, ""f"": ""Verse""}, {""t"": 88.482517006, ""f"": ""Chorus""}, {""t"": 113.282857142, ""f"": ""Solo""}, {""t"": 137.762879818, ""f"": ""Chorus""}, {""t"": 162.298866213, ""f"": ""Fade-out""}, {""t"": 168.04324263, ""f"": ""Silence""}, {""t"": 170.558866213, ""f"": ""End""}]","[0.0, 0.1992517, 13.501904761, 38.61430839, 63.621836734, 88.55430839, 113.373015873, 137.900226757, 168.23941043, 170.596916099]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.1992517, ""f"": ""Intro""}, {""t"": 13.501904761, ""f"": ""Verse""}, {""t"": 38.61430839, ""f"": ""Chorus""}, {""t"": 63.621836734, ""f"": ""Verse""}, {""t"": 88.55430839, ""f"": ""Chorus""}, {""t"": 113.373015873, ""f"": ""Solo""}, {""t"": 137.900226757, ""f"": ""Chorus""}, {""t"": 168.23941043, ""f"": ""Silence""}, {""t"": 170.596916099, ""f"": ""End""}]",spectrograms/mel/6_Ladyhawk_My_Old_Jacknife.png,spectrograms/linear/6_Ladyhawk_My_Old_Jacknife.png,spectrograms/matrices/6_Ladyhawk_My_Old_Jacknife.npy
8,Love Me   Just Leave Me Alone,Jewel,"[0.0, 0.446984126, 10.135895691, 19.660839002, 34.178163265, 38.186893424, 46.268072562, 54.381950113, 62.406281179, 70.479591836, 78.527981859, 86.661995464, 94.710907029, 102.77430839, 110.846870748, 118.899183673, 126.971609977, 135.038208616, 143.102086167, 151.150090702, 159.270362811, 167.337437641, 175.398752834, 183.454285714, 201.598276643, 225.312902494, 227.803424036]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.446984126, ""f"": ""Intro""}, {""t"": 10.135895691, ""f"": ""no_function""}, {""t"": 19.660839002, ""f"": ""no_function""}, {""t"": 34.178163265, ""f"": ""no_function""}, {""t"": 38.186893424, ""f"": ""Verse""}, {""t"": 46.268072562, ""f"": ""no_function""}, {""t"": 54.381950113, ""f"": ""no_function""}, {""t"": 62.406281179, ""f"": ""Verse""}, {""t"": 70.479591836, ""f"": ""no_function""}, {""t"": 78.527981859, ""f"": ""no_function""}, {""t"": 86.661995464, ""f"": ""Bridge""}, {""t"": 94.710907029, ""f"": ""Solo""}, {""t"": 102.77430839, ""f"": ""Verse""}, {""t"": 110.846870748, ""f"": ""no_function""}, {""t"": 118.899183673, ""f"": ""no_function""}, {""t"": 126.971609977, ""f"": ""Bridge""}, {""t"": 135.038208616, ""f"": ""Solo""}, {""t"": 143.102086167, ""f"": ""no_function""}, {""t"": 151.150090702, ""f"": ""no_function""}, {""t"": 159.270362811, ""f"": ""Verse""}, {""t"": 167.337437641, ""f"": ""no_function""}, {""t"": 175.398752834, ""f"": ""no_function""}, {""t"": 183.454285714, ""f"": ""Bridge""}, {""t"": 201.598276643, ""f"": ""Coda""}, {""t"": 225.312902494, ""f"": ""Silence""}, {""t"": 227.803424036, ""f"": ""End""}]","[0.0, 0.487619047, 34.145374149, 62.367120181, 86.58632653, 102.772063492, 126.971678004, 143.189024943, 159.274671201, 183.465238095, 193.567346938, 227.795986394]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.487619047, ""f"": ""Intro""}, {""t"": 34.145374149, ""f"": ""Verse""}, {""t"": 62.367120181, ""f"": ""Verse""}, {""t"": 86.58632653, ""f"": ""Chorus""}, {""t"": 102.772063492, ""f"": ""Verse""}, {""t"": 126.971678004, ""f"": ""Chorus""}, {""t"": 143.189024943, ""f"": ""Solo""}, {""t"": 159.274671201, ""f"": ""Verse""}, {""t"": 183.465238095, ""f"": ""Chorus""}, {""t"": 193.567346938, ""f"": ""Outro""}, {""t"": 227.795986394, ""f"": ""End""}]",spectrograms/mel/8_Jewel_Love_Me___Just_Leave_Me_Alone.png,spectrograms/linear/8_Jewel_Love_Me___Just_Leave_Me_Alone.png,spectrograms/matrices/8_Jewel_Love_Me___Just_Leave_Me_Alone.npy
10,How Beautiful You Are,The Cure,"[0.0, 0.223492063, 53.162222222, 92.820453514, 119.207777777, 172.03600907, 224.810566893, 277.775170068, 314.269342403]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.223492063, ""f"": ""Intro""}, {""t"": 53.162222222, ""f"": ""Verse""}, {""t"": 92.820453514, ""f"": ""Interlude""}, {""t"": 119.207777777, ""f"": ""Verse""}, {""t"": 172.03600907, ""f"": ""Bridge""}, {""t"": 224.810566893, ""f"": ""Verse""}, {""t"": 277.775170068, ""f"": ""Outro""}, {""t"": 314.269342403, ""f"": ""End""}]","[0.0, 0.185759637, 26.878253968, 53.142358276, 92.817528344, 119.054217687, 158.725895691, 198.561723356, 224.975056689, 264.46079365, 303.947505668, 309.80063492, 314.232267573]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.185759637, ""f"": ""Intro""}, {""t"": 26.878253968, ""f"": ""Bridge""}, {""t"": 53.142358276, ""f"": ""Verse""}, {""t"": 92.817528344, ""f"": ""Bridge""}, {""t"": 119.054217687, ""f"": ""Verse""}, {""t"": 158.725895691, ""f"": ""Chorus""}, {""t"": 198.561723356, ""f"": ""Bridge""}, {""t"": 224.975056689, ""f"": ""Verse""}, {""t"": 264.46079365, ""f"": ""Chorus""}, {""t"": 303.947505668, ""f"": ""Fade-out""}, {""t"": 309.80063492, ""f"": ""Silence""}, {""t"": 314.232267573, ""f"": ""End""}]",spectrograms/mel/10_The_Cure_How_Beautiful_You_Are.png,spectrograms/linear/10_The_Cure_How_Beautiful_You_Are.png,spectrograms/matrices/10_The_Cure_How_Beautiful_You_Are.npy
14,Over You,Bif Naked,"[0.0, 0.020408163, 3.018594104, 15.505124716, 40.495600907, 65.529614512, 90.522993197, 115.545396825, 140.524263038, 165.027120181, 177.15664399, 189.657687074, 214.680090702, 239.677074829, 248.24585034]","[{""t"": 0.0, ""f"": ""silence""}, {""t"": 0.020408163, ""f"": ""no_function""}, {""t"": 3.018594104, ""f"": ""Intro""}, {""t"": 15.505124716, ""f"": ""Verse""}, {""t"": 40.495600907, ""f"": ""Verse""}, {""t"": 65.529614512, ""f"": ""Chorus""}, {""t"": 90.522993197, ""f"": ""Verse""}, {""t"": 115.545396825, ""f"": ""Verse""}, {""t"": 140.524263038, ""f"": ""Chorus""}, {""t"": 165.027120181, ""f"": ""Bridge""}, {""t"": 177.15664399, ""f"": ""no_function""}, {""t"": 189.657687074, ""f"": ""Chorus""}, {""t"": 214.680090702, ""f"": ""Chorus""}, {""t"": 239.677074829, ""f"": ""Outro""}, {""t"": 248.24585034, ""f"": ""End""}]","[0.0, 0.020408163, 3.018594104, 15.505124716, 40.495600907, 65.529614512, 90.522993197, 115.545396825, 140.524263038, 165.027120181, 177.15664399, 189.657687074, 214.680090702, 239.677074829, 248.24585034, 248.24585034]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.020408163, ""f"": ""no_function""}, {""t"": 3.018594104, ""f"": ""Intro""}, {""t"": 15.505124716, ""f"": ""Verse""}, {""t"": 40.495600907, ""f"": ""Verse""}, {""t"": 65.529614512, ""f"": ""Chorus""}, {""t"": 90.522993197, ""f"": ""Verse""}, {""t"": 115.545396825, ""f"": ""Verse""}, {""t"": 140.524263038, ""f"": ""Chorus""}, {""t"": 165.027120181, ""f"": ""Bridge""}, {""t"": 177.15664399, ""f"": ""no_function""}, {""t"": 189.657687074, ""f"": ""Chorus""}, {""t"": 214.680090702, ""f"": ""Chorus""}, {""t"": 239.677074829, ""f"": ""Outro""}, {""t"": 248.24585034, ""f"": ""End""}, {""t"": 248.24585034, ""f"": ""Silence""}]",spectrograms/mel/14_Bif_Naked_Over_You.png,spectrograms/linear/14_Bif_Naked_Over_You.png,spectrograms/matrices/14_Bif_Naked_Over_You.npy
16,Goodbye,Natalie Imbruglia,"[0.0, 0.122448979, 6.308276643, 30.951020408, 55.525600907, 67.800521541, 80.0592517, 104.632834467, 129.179977324, 141.42095238, 166.001043083, 178.306190476, 190.568752834, 202.824512471, 227.409773242, 239.699705215, 264.251836734, 276.516757369, 293.657437641, 301.107346938]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.122448979, ""f"": ""Intro""}, {""t"": 6.308276643, ""f"": ""Verse""}, {""t"": 30.951020408, ""f"": ""no_function""}, {""t"": 55.525600907, ""f"": ""Pre-Chorus""}, {""t"": 67.800521541, ""f"": ""Chorus""}, {""t"": 80.0592517, ""f"": ""Verse""}, {""t"": 104.632834467, ""f"": ""no_function""}, {""t"": 129.179977324, ""f"": ""Pre-Chorus""}, {""t"": 141.42095238, ""f"": ""Chorus""}, {""t"": 166.001043083, ""f"": ""Bridge""}, {""t"": 178.306190476, ""f"": ""Solo""}, {""t"": 190.568752834, ""f"": ""Verse""}, {""t"": 202.824512471, ""f"": ""no_function""}, {""t"": 227.409773242, ""f"": ""Pre-Chorus""}, {""t"": 239.699705215, ""f"": ""Chorus""}, {""t"": 264.251836734, ""f"": ""Chorus""}, {""t"": 276.516757369, ""f"": ""Fade-out""}, {""t"": 293.657437641, ""f"": ""Silence""}, {""t"": 301.107346938, ""f"": ""End""}]","[0.0, 0.092879818, 6.227256235, 67.739727891, 79.962834467, 141.522879818, 166.010907029, 190.56292517, 239.754875283, 264.295487528, 276.555011337, 295.171043083, 301.092426303]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.092879818, ""f"": ""Intro""}, {""t"": 6.227256235, ""f"": ""Verse""}, {""t"": 67.739727891, ""f"": ""Chorus""}, {""t"": 79.962834467, ""f"": ""Verse""}, {""t"": 141.522879818, ""f"": ""Chorus""}, {""t"": 166.010907029, ""f"": ""Bridge""}, {""t"": 190.56292517, ""f"": ""Verse""}, {""t"": 239.754875283, ""f"": ""Chorus""}, {""t"": 264.295487528, ""f"": ""no_function""}, {""t"": 276.555011337, ""f"": ""Fade-out""}, {""t"": 295.171043083, ""f"": ""Silence""}, {""t"": 301.092426303, ""f"": ""End""}]",spectrograms/mel/16_Natalie_Imbruglia_Goodbye.png,spectrograms/linear/16_Natalie_Imbruglia_Goodbye.png,spectrograms/matrices/16_Natalie_Imbruglia_Goodbye.npy
22,Dangerous Mood   With Joe Cocker,B B  King,"[0.0, 0.208979591, 14.538117913, 54.844807256, 94.874104308, 147.554081632, 187.121882086, 239.513786848, 279.057414965, 291.976825396, 295.725827664]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.208979591, ""f"": ""Intro""}, {""t"": 14.538117913, ""f"": ""Chorus""}, {""t"": 54.844807256, ""f"": ""Chorus""}, {""t"": 94.874104308, ""f"": ""Chorus""}, {""t"": 147.554081632, ""f"": ""Solo""}, {""t"": 187.121882086, ""f"": ""Chorus""}, {""t"": 239.513786848, ""f"": ""Chorus""}, {""t"": 279.057414965, ""f"": ""Outro""}, {""t"": 291.976825396, ""f"": ""Silence""}, {""t"": 295.725827664, ""f"": ""End""}]","[0.0, 0.208979591, 14.582834467, 54.757278911, 94.875328798, 121.363605442, 147.492585034, 187.091972789, 213.320748299, 239.487120181, 290.506961451, 295.725827664]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.208979591, ""f"": ""Intro""}, {""t"": 14.582834467, ""f"": ""Verse""}, {""t"": 54.757278911, ""f"": ""Verse""}, {""t"": 94.875328798, ""f"": ""Pre-Chorus""}, {""t"": 121.363605442, ""f"": ""Chorus""}, {""t"": 147.492585034, ""f"": ""Solo""}, {""t"": 187.091972789, ""f"": ""Pre-Chorus""}, {""t"": 213.320748299, ""f"": ""Chorus""}, {""t"": 239.487120181, ""f"": ""Outro""}, {""t"": 290.506961451, ""f"": ""Silence""}, {""t"": 295.725827664, ""f"": ""End""}]",spectrograms/mel/22_B_B__King_Dangerous_Mood___With_Joe_Cocker.png,spectrograms/linear/22_B_B__King_Dangerous_Mood___With_Joe_Cocker.png,spectrograms/matrices/22_B_B__King_Dangerous_Mood___With_Joe_Cocker.npy
24,Blood On That Rock,S Word,"[0.0, 0.95201814, 54.868752834, 75.303650793, 95.598208616, 115.783650793, 135.823854875, 155.875578231, 186.365011337, 200.035419501, 202.903922902]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.95201814, ""f"": ""Intro""}, {""t"": 54.868752834, ""f"": ""Head""}, {""t"": 75.303650793, ""f"": ""Head""}, {""t"": 95.598208616, ""f"": ""Solo""}, {""t"": 115.783650793, ""f"": ""Head""}, {""t"": 135.823854875, ""f"": ""Head""}, {""t"": 155.875578231, ""f"": ""Coda""}, {""t"": 186.365011337, ""f"": ""Fade-out""}, {""t"": 200.035419501, ""f"": ""Silence""}, {""t"": 202.903922902, ""f"": ""End""}]","[0.0, 0.468276643, 33.994013605, 54.845532879, 75.232653061, 95.621609977, 115.811519274, 135.809115646, 155.861519274, 176.440249433, 191.33632653, 202.338684807, 202.901927437]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.468276643, ""f"": ""Intro""}, {""t"": 33.994013605, ""f"": ""Head""}, {""t"": 54.845532879, ""f"": ""Head""}, {""t"": 75.232653061, ""f"": ""Head""}, {""t"": 95.621609977, ""f"": ""Solo""}, {""t"": 115.811519274, ""f"": ""Head""}, {""t"": 135.809115646, ""f"": ""Solo""}, {""t"": 155.861519274, ""f"": ""no_function""}, {""t"": 176.440249433, ""f"": ""Head""}, {""t"": 191.33632653, ""f"": ""Outro""}, {""t"": 202.338684807, ""f"": ""Silence""}, {""t"": 202.901927437, ""f"": ""End""}]",spectrograms/mel/24_S_Word_Blood_On_That_Rock.png,spectrograms/linear/24_S_Word_Blood_On_That_Rock.png,spectrograms/matrices/24_S_Word_Blood_On_That_Rock.npy
30,Honey Babe,Lightnin   Hopkins,"[0.0, 0.557278911, 16.694331065, 34.019795918, 39.061814058, 58.358480725, 73.772947845, 87.372539682, 105.803333333, 120.081473922, 134.913537414, 155.116213151]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.557278911, ""f"": ""Intro""}, {""t"": 16.694331065, ""f"": ""Verse""}, {""t"": 34.019795918, ""f"": ""Interlude""}, {""t"": 39.061814058, ""f"": ""Verse""}, {""t"": 58.358480725, ""f"": ""Interlude""}, {""t"": 73.772947845, ""f"": ""Verse""}, {""t"": 87.372539682, ""f"": ""Interlude""}, {""t"": 105.803333333, ""f"": ""Verse""}, {""t"": 120.081473922, ""f"": ""Solo""}, {""t"": 134.913537414, ""f"": ""no_function""}, {""t"": 155.116213151, ""f"": ""End""}]","[0.0, 0.568888888, 16.749501133, 39.084739229, 58.443900226, 73.590839002, 87.350702947, 105.807505668, 120.119274376, 135.002585034, 152.955759637, 155.122448979]","[{""t"": 0.0, ""f"": ""Silence""}, {""t"": 0.568888888, ""f"": ""Intro""}, {""t"": 16.749501133, ""f"": ""Verse""}, {""t"": 39.084739229, ""f"": ""Verse""}, {""t"": 58.443900226, ""f"": ""Solo""}, {""t"": 73.590839002, ""f"": ""Verse""}, {""t"": 87.350702947, ""f"": ""Solo""}, {""t"": 105.807505668, ""f"": ""Verse""}, {""t"": 120.119274376, ""f"": ""Solo""}, {""t"": 135.002585034, ""f"": ""Solo""}, {""t"": 152.955759637, ""f"": ""Silence""}, {""t"": 155.122448979, ""f"": ""End""}]",spectrograms/mel/30_Lightnin___Hopkins_Honey_Babe.png,spectrograms/linear/30_Lightnin___Hopkins_Honey_Babe.png,spectrograms/matrices/30_Lightnin___Hopkins_Honey_Babe.npy
